madvhc,ten,cap,captren
178,Thành phố Lạng Sơn,HUYEN,20
180,Huyện Tràng Định,HUYEN,20
181,Huyện Bình Gia,HUYEN,20
182,Huyện Văn Lãng,HUYEN,20
183,Huyện Cao Lộc,HUYEN,20
184,Huyện Văn Quan,HUYEN,20
185,Huyện Bắc Sơn,HUYEN,20
186,Huyện Hữu Lũng,HUYEN,20
187,Huyện Chi Lăng,HUYEN,20
188,Huyện Lộc Bình,HUYEN,20
189,Huyện Đình Lập,HUYEN,20
193,Thành phố Hạ Long,HUYEN,22
194,Thành phố Móng Cái,HUYEN,22
195,Thành phố Cẩm Phả,HUYEN,22
196,Thành phố Uông Bí,HUYEN,22
198,Huyện Bình Liêu,HUYEN,22
199,Huyện Tiên Yên,HUYEN,22
200,Huyện Đầm Hà,HUYEN,22
201,Huyện Hải Hà,HUYEN,22
202,Huyện Ba Chẽ,HUYEN,22
203,Huyện Vân Đồn,HUYEN,22
204,Huyện Hoành Bồ,HUYEN,22
205,Thị xã Đông Triều,HUYEN,22
206,Thị xã Quảng Yên,HUYEN,22
207,Huyện Cô Tô,HUYEN,22
213,Thành phố Bắc Giang,HUYEN,24
215,Huyện Yên Thế,HUYEN,24
216,Huyện Tân Yên,HUYEN,24
217,Huyện Lạng Giang,HUYEN,24
218,Huyện Lục Nam,HUYEN,24
219,Huyện Lục Ngạn,HUYEN,24
220,Huyện Sơn Động,HUYEN,24
221,Huyện Yên Dũng,HUYEN,24
222,Huyện Việt Yên,HUYEN,24
223,Huyện Hiệp Hòa,HUYEN,24
227,Thành phố Việt Trì,HUYEN,25
228,Thị xã Phú Thọ,HUYEN,25
230,Huyện Đoan Hùng,HUYEN,25
231,Huyện Hạ Hoà,HUYEN,25
232,Huyện Thanh Ba,HUYEN,25
233,Huyện Phù Ninh,HUYEN,25
234,Huyện Yên Lập,HUYEN,25
235,Huyện Cẩm Khê,HUYEN,25
236,Huyện Tam Nông,HUYEN,25
237,Huyện Lâm Thao,HUYEN,25
238,Huyện Thanh Sơn,HUYEN,25
239,Huyện Thanh Thuỷ,HUYEN,25
240,Huyện Tân Sơn,HUYEN,25
243,Thành phố Vĩnh Yên,HUYEN,26
244,Thị xã Phúc Yên,HUYEN,26
246,Huyện Lập Thạch,HUYEN,26
247,Huyện Tam Dương,HUYEN,26
248,Huyện Tam Đảo,HUYEN,26
249,Huyện Bình Xuyên,HUYEN,26
251,Huyện Yên Lạc,HUYEN,26
252,Huyện Vĩnh Tường,HUYEN,26
253,Huyện Sông Lô,HUYEN,26
256,Thành phố Bắc Ninh,HUYEN,27
258,Huyện Yên Phong,HUYEN,27
259,Huyện Quế Võ,HUYEN,27
260,Huyện Tiên Du,HUYEN,27
261,Thị xã Từ Sơn,HUYEN,27
262,Huyện Thuận Thành,HUYEN,27
263,Huyện Gia Bình,HUYEN,27
