madvhc,ten,cap,captren
04867,Xã Tu Lý,XA,150
04870,Xã Trung Thành,XA,150
04873,Xã Yên Hòa,XA,150
04876,Xã Cao Sơn,XA,150
04879,Xã Toàn Sơn,XA,150
04885,Xã Hiền Lương,XA,150
04888,Xã Tiền Phong,XA,150
04891,Xã Vầy Nưa,XA,150
04894,Thị trấn Kỳ Sơn,XA,151
04897,Xã Hợp Thịnh,XA,151
04900,Xã Phú Minh,XA,151
04903,Xã Hợp Thành,XA,151
04906,Xã Phúc Tiến,XA,151
04909,Xã Dân Hòa,XA,151
04912,Xã Mông Hóa,XA,151
04915,Xã Dân Hạ,XA,151
04921,Xã Độc Lập,XA,151
04933,Xã Yên Quang,XA,151
04924,Thị trấn Lương Sơn,XA,152
04942,Xã Lâm Sơn,XA,152
04945,Xã Hòa Sơn,XA,152
04948,Xã Trường Sơn,XA,152
04951,Xã Tân Vinh,XA,152
04954,Xã Nhuận Trạch,XA,152
04957,Xã Cao Răm,XA,152
04960,Xã Cư Yên,XA,152
04963,Xã Hợp Hòa,XA,152
04966,Xã Liên Sơn,XA,152
04969,Xã Thành Lập,XA,152
04972,Xã Tiến Sơn,XA,152
04975,Xã Trung Sơn,XA,152
04996,Xã Tân Thành,XA,152
05008,Xã Cao Dương,XA,152
05023,Xã Hợp Châu,XA,152
05041,Xã Long Sơn,XA,152
05047,Xã Cao Thắng,XA,152
05059,Xã Thanh Lương,XA,152
05062,Xã Hợp Thanh,XA,152
04978,Thị trấn Bo,XA,153
04984,Xã Đú Sáng,XA,153
04987,Xã  Bắc Sơn,XA,153
04990,Xã Bình Sơn,XA,153
04993,Xã Hùng Tiến,XA,153
04999,Xã Tú Sơn,XA,153
05002,Xã Nật Sơn,XA,153
05005,Xã Vĩnh Tiến,XA,153
05011,Xã Sơn Thủy,XA,153
05014,Xã Đông Bắc,XA,153
05017,Xã Thượng Bì,XA,153
05020,Xã Lập Chiệng,XA,153
05026,Xã Vĩnh Đồng,XA,153
05029,Xã Hạ Bì,XA,153
05032,Xã Trung Bì,XA,153
05035,Xã Kim Sơn,XA,153
05038,Xã Hợp Đồng,XA,153
05044,Xã Thượng Tiến,XA,153
05050,Xã Kim Tiến,XA,153
05053,Xã Kim Bình,XA,153
05056,Xã Hợp Kim,XA,153
05065,Xã Kim Bôi,XA,153
05068,Xã Nam Thượng,XA,153
05071,Xã Kim Truy,XA,153
05077,Xã Cuối Hạ,XA,153
05080,Xã Sào Báy,XA,153
05083,Xã Mi Hòa,XA,153
05086,Xã Nuông Dăm,XA,153
05089,Thị trấn Cao Phong,XA,154
05092,Xã Bình Thanh,XA,154
05095,Xã Thung Nai,XA,154
05098,Xã Bắc Phong,XA,154
05101,Xã Thu Phong,XA,154
05104,Xã Đông Phong,XA,154
05107,Xã Xuân Phong,XA,154
05110,Xã Tây Phong,XA,154
05113,Xã Tân Phong,XA,154
05116,Xã Dũng Phong,XA,154
05119,Xã Nam Phong,XA,154
05122,Xã Yên Lập,XA,154
05125,Xã Yên Thượng,XA,154
05128,Thị trấn Mường Khến,XA,155
05131,Xã Ngòi Hoa,XA,155
05134,Xã Trung Hòa,XA,155
05137,Xã Phú Vinh,XA,155
05140,Xã Phú Cường,XA,155
05143,Xã Mỹ Hòa,XA,155
05146,Xã Quy Hậu,XA,155
05149,Xã Phong Phú,XA,155
05152,Xã Quyết Chiến,XA,155
05155,Xã Mãn Đức,XA,155
05158,Xã Địch Giáo,XA,155
05161,Xã Tuân Lộ,XA,155
05164,Xã Tử Nê,XA,155
05167,Xã Thanh Hối,XA,155
05170,Xã Ngọc Mỹ,XA,155
05173,Xã Đông Lai,XA,155
05176,Xã Lũng Vân,XA,155
05179,Xã Bắc Sơn,XA,155
05182,Xã Quy Mỹ,XA,155
05185,Xã Do Nhân,XA,155
05188,Xã Nam Sơn,XA,155
05191,Xã Lỗ Sơn,XA,155
05194,Xã Ngổ Luông,XA,155
05197,Xã Gia Mô,XA,155
04882,Xã Tân Dân,XA,156
05200,Thị trấn Mai Châu,XA,156
05203,Xã Tân Mai,XA,156
05206,Xã Phúc Sạn,XA,156
05209,Xã Pà Cò,XA,156
05212,Xã Hang Kia,XA,156
05215,Xã Ba Khan,XA,156
05218,Xã Tân Sơn,XA,156
05221,Xã Đồng Bảng,XA,156
05224,Xã Cun Pheo,XA,156
05227,Xã Bao La,XA,156
05230,Xã Piềng Vế,XA,156
05233,Xã Tòng Đậu,XA,156
05236,Xã Nà Mèo,XA,156
05239,Xã Thung Khe,XA,156
05242,Xã Nà Phòn,XA,156
05245,Xã Săm Khóe,XA,156
05248,Xã Chiềng Châu,XA,156
05251,Xã Mai Hạ,XA,156
05254,Xã Nong Luông,XA,156
05257,Xã Mai Hịch,XA,156
05260,Xã Pù Pin,XA,156
05263,Xã Vạn Mai,XA,156
05266,Thị trấn Vụ Bản,XA,157
05269,Xã Quý Hòa,XA,157
05272,Xã Miền Đồi,XA,157
05275,Xã Mỹ Thành,XA,157
05278,Xã Tuân Đạo,XA,157
05281,Xã Văn Nghĩa,XA,157
05284,Xã Văn Sơn,XA,157
05287,Xã Tân Lập,XA,157
05290,Xã Nhân Nghĩa,XA,157
05293,Xã Thượng Cốc,XA,157
05296,Xã Phú Lương,XA,157
05299,Xã Phúc Tuy,XA,157
05302,Xã Xuất Hóa,XA,157
05305,Xã Yên Phú,XA,157
05308,Xã Bình Hẻm,XA,157
05311,Xã Chí Thiện,XA,157
05314,Xã Bình Cảng,XA,157
05317,Xã Bình Chân,XA,157
05320,Xã Định Cư,XA,157
05323,Xã Chí Đạo,XA,157
05326,Xã Liên Vũ,XA,157
05329,Xã Ngọc Sơn,XA,157
05332,Xã Hương Nhượng,XA,157
05335,Xã Vũ Lâm,XA,157
05338,Xã Tự Do,XA,157
05341,Xã Yên Nghiệp,XA,157
05344,Xã Tân Mỹ,XA,157
05347,Xã Ân Nghĩa,XA,157
05350,Xã Ngọc Lâu,XA,157
05353,Thị trấn Hàng Trạm,XA,158
05356,Xã Lạc Sỹ,XA,158
05359,Xã Lạc Hưng,XA,158
05362,Xã Lạc Lương,XA,158
05365,Xã Bảo Hiệu,XA,158
05368,Xã Đa Phúc,XA,158
05371,Xã Hữu Lợi,XA,158
05374,Xã Lạc Thịnh,XA,158
05377,Xã Yên Lạc,XA,158
05380,Xã Đoàn Kết,XA,158
05383,Xã Phú Lai,XA,158
05386,Xã Yên Trị,XA,158
05389,Xã Ngọc Lương,XA,158
04981,Thị trấn Thanh Hà,XA,159
05074,Xã Thanh Nông,XA,159
05392,Thị trấn Chi Nê,XA,159
05395,Xã Phú Lão,XA,159
05398,Xã Phú Thành,XA,159
05401,Xã Cố Nghĩa,XA,159
05404,Xã Hưng Thi,XA,159
05407,Xã Lạc Long,XA,159
05410,Xã Liên Hòa,XA,159
05413,Xã Khoan Dụ,XA,159
05416,Xã Đồng Môn,XA,159
05419,Xã Đồng Tâm,XA,159
05422,Xã Yên Bồng,XA,159
05425,Xã An Lạc,XA,159
05428,Xã An Bình,XA,159
05431,Phường Quán Triều,XA,164
05434,Phường Quang Vinh,XA,164
05437,Phường Túc Duyên,XA,164
05440,Phường Hoàng Văn Thụ,XA,164
05443,Phường Trưng Vương,XA,164
05446,Phường Quang Trung,XA,164
05449,Phường Phan Đình Phùng,XA,164
05452,Phường Tân Thịnh,XA,164
05455,Phường Thịnh Đán,XA,164
05458,Phường Đồng Quang,XA,164
05461,Phường Gia Sàng,XA,164
05464,Phường Tân Lập,XA,164
05467,Phường Cam Giá,XA,164
05470,Phường Phú Xá,XA,164
05473,Phường Hương Sơn,XA,164
05476,Phường Trung Thành,XA,164
05479,Phường Tân Thành,XA,164
05482,Phường Tân Long,XA,164
05485,Xã Phúc Hà,XA,164
05488,Xã Phúc Xuân,XA,164
05491,Xã Quyết Thắng,XA,164
05494,Xã Phúc Trìu,XA,164
05497,Xã Thịnh Đức,XA,164
05500,Phường Tích Lương,XA,164
05503,Xã Tân Cương,XA,164
05695,Xã Cao Ngạn,XA,164
05710,Xã Đồng Bẩm,XA,164
05506,Phường Lương Sơn,XA,165
05509,Phường Lương Châu,XA,165
05512,Phường Mỏ Chè,XA,165
05515,Phường Cải Đan,XA,165
05518,Phường Thắng Lợi,XA,165
05521,Phường Phố Cò,XA,165
05524,Xã Vinh Sơn,XA,165
05527,Xã Tân Quang,XA,165
05528,Phường Bách Quang,XA,165
05530,Xã Bình Sơn,XA,165
05533,Xã Bá Xuyên,XA,165
05536,Thị trấn Chợ Chu,XA,167
05539,Xã Linh Thông,XA,167
05542,Xã Lam Vỹ,XA,167
05545,Xã Quy Kỳ,XA,167
05548,Xã Tân Thịnh,XA,167
05551,Xã Kim Phượng,XA,167
05554,Xã Bảo Linh,XA,167
05557,Xã Kim Sơn,XA,167
05560,Xã Phúc Chu,XA,167
05563,Xã Tân Dương,XA,167
05566,Xã Phượng Tiến,XA,167
05569,Xã Bảo Cường,XA,167
05572,Xã Đồng Thịnh,XA,167
05575,Xã Định Biên,XA,167
05578,Xã Thanh Định,XA,167
05581,Xã Trung Hội,XA,167
05584,Xã Trung Lương,XA,167
05587,Xã Bình Yên,XA,167
05590,Xã Điềm Mặc,XA,167
05593,Xã Phú Tiến,XA,167
05596,Xã Bộc Nhiêu,XA,167
05599,Xã Sơn Phú,XA,167
05602,Xã Phú Đình,XA,167
05605,Xã Bình Thành,XA,167
05608,Thị trấn Giang Tiên,XA,168
05611,Thị trấn Đu,XA,168
05614,Xã Yên Ninh,XA,168
05617,Xã Yên Trạch,XA,168
05620,Xã Yên Đổ,XA,168
05623,Xã Yên Lạc,XA,168
05626,Xã Ôn Lương,XA,168
05629,Xã Động Đạt,XA,168
05632,Xã Phủ Lý,XA,168
05635,Xã Phú Đô,XA,168
05638,Xã Hợp Thành,XA,168
05641,Xã Tức Tranh,XA,168
05644,Xã Phấn Mễ,XA,168
05647,Xã Vô Tranh,XA,168
05650,Xã Cổ Lũng,XA,168
05653,Xã Sơn Cẩm,XA,168
05656,Thị trấn Sông Cầu,XA,169
05659,Thị trấn Chùa Hang,XA,169
05662,Thị trấn Trại Cau,XA,169
05665,Xã Văn Lăng,XA,169
05668,Xã Tân Long,XA,169
05671,Xã Hòa Bình,XA,169
05674,Xã Quang Sơn,XA,169
05677,Xã Minh Lập,XA,169
05680,Xã Văn Hán,XA,169
05683,Xã Hóa Trung,XA,169
05686,Xã Khe Mo,XA,169
05689,Xã Cây Thị,XA,169
05692,Xã Hóa Thượng,XA,169
05698,Xã Hợp Tiến,XA,169
05701,Xã Linh Sơn,XA,169
05704,Xã Tân Lợi,XA,169
05707,Xã Nam Hòa,XA,169
05713,Xã Huống Thượng,XA,169
05716,Thị trấn Đình Cả,XA,170
05719,Xã Sảng Mộc,XA,170
05722,Xã Nghinh Tường,XA,170
05725,Xã Thần Xa,XA,170
05728,Xã Vũ Chấn,XA,170
05731,Xã Thượng Nung,XA,170
05734,Xã Phú Thượng,XA,170
05737,Xã Cúc Đường,XA,170
05740,Xã La Hiên,XA,170
05743,Xã Lâu Thượng,XA,170
05746,Xã Tràng Xá,XA,170
05749,Xã Phương Giao,XA,170
05752,Xã Liên Minh,XA,170
05755,Xã Dân Tiến,XA,170
05758,Xã Bình Long,XA,170
05761,Thị trấn Hùng Sơn,XA,171
05764,Thị trấn Quân Chu,XA,171
05767,Xã Phúc Lương,XA,171
05770,Xã Minh Tiến,XA,171
05773,Xã Yên Lãng,XA,171
05776,Xã Đức Lương,XA,171
05779,Xã Phú Cường,XA,171
05782,Xã Na Mao,XA,171
05785,Xã Phú Lạc,XA,171
05788,Xã Tân Linh,XA,171
05791,Xã Phú Thịnh,XA,171
05794,Xã Phục Linh,XA,171
05797,Xã Phú Xuyên,XA,171
05800,Xã Bản Ngoại,XA,171
05803,Xã Tiên Hội,XA,171
05809,Xã Cù Vân,XA,171
05812,Xã Hà Thượng,XA,171
05815,Xã La Bằng,XA,171
05818,Xã Hoàng Nông,XA,171
05821,Xã Khôi Kỳ,XA,171
05824,Xã An Khánh,XA,171
05827,Xã Tân Thái,XA,171
05830,Xã Bình Thuận,XA,171
05833,Xã Lục Ba,XA,171
05836,Xã Mỹ Yên,XA,171
05839,Xã Vạn Thọ,XA,171
05842,Xã Văn Yên,XA,171
05845,Xã Ký Phú,XA,171
05848,Xã Cát Nê,XA,171
05851,Xã Quân Chu,XA,171
05854,Phường Bãi Bông,XA,172
05857,Phường Bắc Sơn,XA,172
05860,Phường Ba Hàng,XA,172
05863,Xã Phúc Tân,XA,172
05866,Xã Phúc Thuận,XA,172
05869,Xã Hồng Tiến,XA,172
05872,Xã Minh Đức,XA,172
05875,Xã Đắc Sơn,XA,172
05878,Phường Đồng Tiến,XA,172
05881,Xã Thành Công,XA,172
05884,Xã Tiên Phong,XA,172
05887,Xã Vạn Phái,XA,172
05890,Xã Nam Tiến,XA,172
05893,Xã Tân Hương,XA,172
05896,Xã Đông Cao,XA,172
05899,Xã Trung Thành,XA,172
05902,Xã Tân Phú,XA,172
05905,Xã Thuận Thành,XA,172
05908,Thị trấn Hương Sơn,XA,173
05911,Xã Bàn Đạt,XA,173
05914,Xã Đồng Liên,XA,173
05917,Xã Tân Khánh,XA,173
05920,Xã Tân Kim,XA,173
05923,Xã Tân Thành,XA,173
05926,Xã Đào Xá,XA,173
05929,Xã Bảo Lý,XA,173
05932,Xã Thượng Đình,XA,173
05935,Xã Tân Hòa,XA,173
05938,Xã Nhã Lộng,XA,173
05941,Xã Điềm Thụy,XA,173
05944,Xã Xuân Phương,XA,173
05947,Xã Tân Đức,XA,173
05950,Xã Úc Kỳ,XA,173
05953,Xã Lương Phú,XA,173
05956,Xã Nga My,XA,173
05959,Xã Kha Sơn,XA,173
05962,Xã Thanh Ninh,XA,173
05965,Xã Dương Thành,XA,173
05968,Xã Hà Châu,XA,173
05971,Phường Hoàng Văn Thụ,XA,178
05974,Phường Tam Thanh,XA,178
05977,Phường Vĩnh Trại,XA,178
05980,Phường Đông Kinh,XA,178
05983,Phường Chi Lăng,XA,178
05986,Xã Hoàng Đồng,XA,178
05989,Xã Quảng Lạc,XA,178
05992,Xã Mai Pha,XA,178
05995,Thị trấn Thất Khê,XA,180
05998,Xã Khánh Long,XA,180
06001,Xã Đoàn Kết,XA,180
06004,Xã Quốc Khánh,XA,180
06007,Xã Vĩnh Tiến,XA,180
06010,Xã Cao Minh,XA,180
06013,Xã Chí Minh,XA,180
06016,Xã Tri Phương,XA,180
06019,Xã Tân Tiến,XA,180
06022,Xã Tân Yên,XA,180
06025,Xã Đội Cấn,XA,180
06028,Xã Tân Minh,XA,180
06031,Xã Kim Đồng,XA,180
06034,Xã Chi Lăng,XA,180
06037,Xã Trung Thành,XA,180
06040,Xã Đại Đồng,XA,180
06043,Xã Đào Viên,XA,180
06046,Xã Đề Thám,XA,180
06049,Xã Kháng Chiến,XA,180
06052,Xã Bắc Ái,XA,180
06055,Xã Hùng Sơn,XA,180
06058,Xã Quốc Việt,XA,180
06061,Xã Hùng Việt,XA,180
06064,Thị trấn Bình Gia,XA,181
06067,Xã Hưng Đạo,XA,181
06070,Xã Vĩnh Yên,XA,181
06073,Xã Hoa Thám,XA,181
06076,Xã Quý Hòa,XA,181
06079,Xã Hồng Phong,XA,181
06082,Xã Yên Lỗ,XA,181
06085,Xã Thiện Hòa,XA,181
06088,Xã Quang Trung,XA,181
06091,Xã Thiện Thuật,XA,181
06094,Xã Minh Khai,XA,181
06097,Xã Thiện Long,XA,181
06100,Xã Hoàng Văn Thụ,XA,181
06103,Xã Hòa Bình,XA,181
06106,Xã Mông Ân,XA,181
06109,Xã Tân Hòa,XA,181
06112,Xã Tô Hiệu,XA,181
06115,Xã Hồng Thái,XA,181
06118,Xã Bình La,XA,181
06121,Xã Tân Văn,XA,181
06124,Thị trấn Na Sầm,XA,182
06127,Xã Trùng Khánh,XA,182
06130,Xã Tân Việt,XA,182
06133,Xã Bắc La,XA,182
06136,Xã Thụy Hùng,XA,182
06139,Xã Trùng Quán,XA,182
06142,Xã Tân Tác,XA,182
06145,Xã An Hùng,XA,182
06148,Xã Thanh Long,XA,182
06151,Xã Hội Hoan,XA,182
06154,Xã Tân Lang,XA,182
06157,Xã Hoàng Việt,XA,182
06160,Xã Gia Miễn,XA,182
06163,Xã Thành Hòa,XA,182
06166,Xã Tân Thanh,XA,182
06169,Xã Nam La,XA,182
06172,Xã Tân Mỹ,XA,182
06175,Xã Hồng Thái,XA,182
06178,Xã  Hoàng Văn Thụ,XA,182
06181,Xã Nhạc Kỳ,XA,182
06184,Thị trấn Đồng Đăng,XA,183
06187,Thị trấn Cao Lộc,XA,183
06190,Xã Bảo Lâm,XA,183
06193,Xã Thanh Lòa,XA,183
06196,Xã Cao Lâu,XA,183
06199,Xã Thạch Đạn,XA,183
06202,Xã Xuất Lễ,XA,183
06205,Xã Hồng Phong,XA,183
06208,Xã Thụy Hùng,XA,183
06211,Xã Lộc Yên,XA,183
06214,Xã Phú Xá,XA,183
06217,Xã Bình Trung,XA,183
06220,Xã Hải Yến,XA,183
06223,Xã Hòa Cư,XA,183
06226,Xã Hợp Thành,XA,183
06229,Xã Song Giáp,XA,183
06232,Xã Công Sơn,XA,183
06235,Xã Gia Cát,XA,183
06238,Xã Mẫu Sơn,XA,183
06241,Xã Xuân Long,XA,183
06244,Xã Tân Liên,XA,183
06247,Xã Yên Trạch,XA,183
06250,Xã Tân Thành,XA,183
06253,Thị trấn Văn Quan,XA,184
06256,Xã Trấn Ninh,XA,184
06259,Xã Phú Mỹ,XA,184
06262,Xã Việt Yên,XA,184
06265,Xã Song Giang,XA,184
06268,Xã Vân Mộng,XA,184
06271,Xã Vĩnh Lại,XA,184
06274,Xã Hòa Bình,XA,184
06277,Xã Tú Xuyên,XA,184
06280,Xã Văn An,XA,184
06283,Xã Đại An,XA,184
06286,Xã Khánh Khê,XA,184
06289,Xã Chu Túc,XA,184
06292,Xã Lương Năng,XA,184
06295,Xã Đồng Giáp,XA,184
06298,Xã Xuân Mai,XA,184
06301,Xã Tràng Các,XA,184
06304,Xã Tràng Sơn,XA,184
06307,Xã Tân Đoàn,XA,184
06310,Xã Bình Phúc,XA,184
06313,Xã Tri Lễ,XA,184
06316,Xã Tràng Phái,XA,184
06319,Xã Yên Phúc,XA,184
06322,Xã Hữu Lễ,XA,184
06325,Thị trấn Bắc Sơn,XA,185
06328,Xã Long Đống,XA,185
06331,Xã Vạn Thủy,XA,185
06334,Xã Quỳnh Sơn,XA,185
06337,Xã Đồng ý,XA,185
06340,Xã Tân Tri,XA,185
06343,Xã Bắc Sơn,XA,185
06346,Xã Hữu Vĩnh,XA,185
06349,Xã Hưng Vũ,XA,185
06352,Xã Tân Lập,XA,185
06355,Xã Vũ Sơn,XA,185
06358,Xã Chiêu Vũ,XA,185
06361,Xã Tân Hương,XA,185
06364,Xã Chiến Thắng,XA,185
06367,Xã Vũ Lăng,XA,185
06370,Xã Trấn Yên,XA,185
06373,Xã Vũ Lễ,XA,185
06376,Xã Nhất Hòa,XA,185
06379,Xã Tân Thành,XA,185
06382,Xã Nhất Tiến,XA,185
06385,Thị trấn Hữu Lũng,XA,186
06388,Xã Hữu Liên,XA,186
06391,Xã Yên Bình,XA,186
06394,Xã Quyết Thắng,XA,186
06397,Xã Hòa Bình,XA,186
06400,Xã Yên Thịnh,XA,186
06403,Xã Yên Sơn,XA,186
06406,Xã Thiện Kỵ,XA,186
06409,Xã Tân Lập,XA,186
06412,Xã Yên Vượng,XA,186
06415,Xã Minh Tiến,XA,186
06418,Xã Nhật Tiến,XA,186
06421,Xã Thanh Sơn,XA,186
06424,Xã Đồng Tân,XA,186
06427,Xã Cai Kinh,XA,186
06430,Xã Hòa Lạc,XA,186
06433,Xã Vân Nham,XA,186
06436,Xã Đồng Tiến,XA,186
06439,Xã Đô Lương,XA,186
06442,Xã Tân Thành,XA,186
06445,Xã Hòa Sơn,XA,186
06448,Xã Minh Sơn,XA,186
06451,Xã Hồ Sơn,XA,186
06454,Xã Sơn Hà,XA,186
06457,Xã Minh Hòa,XA,186
06460,Xã Hòa Thắng,XA,186
06463,Thị trấn Đồng Mỏ,XA,187
06466,Thị trấn Chi Lăng,XA,187
06469,Xã Vân An,XA,187
06472,Xã Vân Thủy,XA,187
06475,Xã Gia Lộc,XA,187
06478,Xã Bắc Thủy,XA,187
06481,Xã Chiến Thắng,XA,187
06484,Xã Mai Sao,XA,187
06487,Xã Bằng Hữu,XA,187
06490,Xã Thượng Cường,XA,187
06493,Xã Bằng Mạc,XA,187
06496,Xã Nhân Lý,XA,187
06499,Xã Lâm Sơn,XA,187
06502,Xã Liên Sơn,XA,187
06505,Xã Vạn Linh,XA,187
06508,Xã Hòa Bình,XA,187
06511,Xã Quang Lang,XA,187
06514,Xã Hữu Kiên,XA,187
06517,Xã Quan Sơn,XA,187
06520,Xã Y Tịch,XA,187
06523,Xã Chi Lăng,XA,187
06526,Thị trấn Na Dương,XA,188
06529,Thị trấn Lộc Bình,XA,188
06532,Xã Mẫu Sơn,XA,188
06535,Xã Bằng Khánh,XA,188
06538,Xã Xuân Lễ,XA,188
06541,Xã Yên Khoái,XA,188
06544,Xã Xuân Mãn,XA,188
06547,Xã Tú Mịch,XA,188
06550,Xã Hữu Khánh,XA,188
06553,Xã Đồng Bục,XA,188
06556,Xã Vân Mộng,XA,188
06559,Xã Tam Gia,XA,188
06562,Xã Tú Đoạn,XA,188
06565,Xã Khuất Xá,XA,188
06568,Xã Như Khuê,XA,188
06571,Xã Lục Thôn,XA,188
06574,Xã Tĩnh Bắc,XA,188
06577,Xã Xuân Tình,XA,188
06580,Xã Hiệp Hạ,XA,188
06583,Xã Nhượng Bạn,XA,188
06586,Xã Quan Bản,XA,188
06589,Xã Sàn Viên,XA,188
06592,Xã Đông Quan,XA,188
06595,Xã Minh Phát,XA,188
06598,Xã Hữu Lân,XA,188
06601,Xã Lợi Bác,XA,188
06604,Xã Nam Quan,XA,188
06607,Xã Xuân Dương,XA,188
06610,Xã Ái Quốc,XA,188
06613,Thị trấn Đình Lập,XA,189
06616,Thị trấn NT Thái Bình,XA,189
06619,Xã Bắc Xa,XA,189
06622,Xã Bính Xá,XA,189
06625,Xã Kiên Mộc,XA,189
06628,Xã Đình Lập,XA,189
06631,Xã Thái Bình,XA,189
06634,Xã Cường Lợi,XA,189
06637,Xã Châu Sơn,XA,189
06640,Xã Lâm Ca,XA,189
06643,Xã Đồng Thắng,XA,189
06646,Xã Bắc Lãng,XA,189
06649,Phường Hà Khánh,XA,193
06652,Phường Hà Phong,XA,193
06655,Phường Hà Khẩu,XA,193
06658,Phường Cao Xanh,XA,193
06661,Phường Giếng Đáy,XA,193
06664,Phường Hà Tu,XA,193
06667,Phường Hà Trung,XA,193
06670,Phường Hà Lầm,XA,193
06673,Phường Bãi Cháy,XA,193
06676,Phường Cao Thắng,XA,193
06679,Phường Hùng Thắng,XA,193
06682,Phường Yết Kiêu,XA,193
06685,Phường Trần Hưng Đạo,XA,193
06688,Phường Hồng Hải,XA,193
06691,Phường Hồng Gai,XA,193
06694,Phường Bạch Đằng,XA,193
06697,Phường Hồng Hà,XA,193
06700,Phường Tuần Châu,XA,193
06703,Phường Việt Hưng,XA,193
06706,Phường Đại Yên,XA,193
06709,Phường Ka Long,XA,194
06712,Phường Trần Phú,XA,194
06715,Phường Ninh Dương,XA,194
06718,Phường Hoà Lạc,XA,194
06721,Phường Trà Cổ,XA,194
06724,Xã Hải Sơn,XA,194
06727,Xã Bắc Sơn,XA,194
06730,Xã Hải Đông,XA,194
06733,Xã Hải Tiến,XA,194
06736,Phường Hải Yên,XA,194
06739,Xã Quảng Nghĩa,XA,194
06742,Phường Hải Hoà,XA,194
06745,Xã Hải Xuân,XA,194
06748,Xã Vạn Ninh,XA,194
06751,Phường Bình Ngọc,XA,194
06754,Xã Vĩnh Trung,XA,194
06757,Xã Vĩnh Thực,XA,194
06760,Phường Mông Dương,XA,195
06763,Phường Cửa Ông,XA,195
06766,Phường Cẩm Sơn,XA,195
06769,Phường Cẩm Đông,XA,195
06772,Phường Cẩm Phú,XA,195
06775,Phường Cẩm Tây,XA,195
06778,Phường Quang Hanh,XA,195
06781,Phường Cẩm Thịnh,XA,195
06784,Phường Cẩm Thủy,XA,195
06787,Phường Cẩm Thạch,XA,195
06790,Phường Cẩm Thành,XA,195
06793,Phường Cẩm Trung,XA,195
06796,Phường Cẩm Bình,XA,195
06799,Xã Cộng Hòa,XA,195
06802,Xã Cẩm Hải,XA,195
06805,Xã Dương Huy,XA,195
06808,Phường Vàng Danh,XA,196
06811,Phường Thanh Sơn,XA,196
06814,Phường Bắc Sơn,XA,196
06817,Phường Quang Trung,XA,196
06820,Phường Trưng Vương,XA,196
06823,Phường Nam Khê,XA,196
06826,Phường Yên Thanh,XA,196
06829,Xã Thượng Yên Công,XA,196
06832,Phường Phương Đông,XA,196
06835,Phường Phương Nam,XA,196
07141,Xã Điền Công,XA,196
06838,Thị trấn Bình Liêu,XA,198
06841,Xã Hoành Mô,XA,198
06844,Xã Đồng Tâm,XA,198
06847,Xã Đồng Văn,XA,198
06850,Xã Tình Húc,XA,198
06853,Xã Vô Ngại,XA,198
06856,Xã Lục Hồn,XA,198
06859,Xã Húc Động,XA,198
06862,Thị trấn Tiên Yên,XA,199
06865,Xã Hà Lâu,XA,199
06868,Xã Đại Dực,XA,199
06869,Xã Đại Thành,XA,199
06871,Xã Phong Dụ,XA,199
06874,Xã Điền Xá,XA,199
06877,Xã Đông Ngũ,XA,199
06880,Xã Yên Than,XA,199
06883,Xã Đông Hải,XA,199
06886,Xã Hải Lạng,XA,199
06889,Xã Tiên Lãng,XA,199
06892,Xã Đồng Rui,XA,199
06895,Thị trấn Đầm Hà,XA,200
06898,Xã Quảng Lâm,XA,200
06901,Xã Quảng An,XA,200
06904,Xã Tân Bình,XA,200
06907,Xã Quảng Lợi,XA,200
06910,Xã Dực Yên,XA,200
06913,Xã Quảng Tân,XA,200
06916,Xã Đầm Hà,XA,200
06917,Xã Tân Lập,XA,200
06919,Xã Đại Bình,XA,200
06922,Thị trấn Quảng Hà,XA,201
06925,Xã Quảng Đức,XA,201
06928,Xã Quảng Sơn,XA,201
06931,Xã Quảng Thành,XA,201
06934,Xã Quảng Thắng,XA,201
06937,Xã Quảng Thịnh,XA,201
06940,Xã Quảng Minh,XA,201
06943,Xã Quảng Chính,XA,201
06946,Xã Quảng Long,XA,201
06949,Xã Đường Hoa,XA,201
06952,Xã Quảng Phong,XA,201
06955,Xã Quảng Trung,XA,201
06958,Xã Phú Hải,XA,201
06961,Xã Quảng Điền,XA,201
06964,Xã Tiến Tới,XA,201
06967,Xã Cái Chiên,XA,201
06970,Thị trấn Ba Chẽ,XA,202
06973,Xã Thanh Sơn,XA,202
06976,Xã Thanh Lâm,XA,202
06979,Xã Đạp Thanh,XA,202
06982,Xã Nam Sơn,XA,202
06985,Xã Lương Mông,XA,202
06988,Xã Đồn Đạc,XA,202
06991,Xã Minh Cầm,XA,202
06994,Thị trấn Cái Rồng,XA,203
06997,Xã Đài Xuyên,XA,203
07000,Xã Bình Dân,XA,203
07003,Xã Vạn Yên,XA,203
07006,Xã Minh Châu,XA,203
07009,Xã Đoàn Kết,XA,203
07012,Xã Hạ Long,XA,203
07015,Xã Đông Xá,XA,203
07018,Xã Bản Sen,XA,203
07021,Xã Thắng Lợi,XA,203
07024,Xã Quan Lạn,XA,203
07027,Xã Ngọc Vừng,XA,203
07030,Thị trấn Trới,XA,204
07033,Xã Kỳ Thượng,XA,204
07036,Xã Đồng Sơn,XA,204
07039,Xã Tân Dân,XA,204
07042,Xã Đồng Lâm,XA,204
07045,Xã Hòa Bình,XA,204
07048,Xã Vũ Oai,XA,204
07051,Xã Dân Chủ,XA,204
